City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,keminmaa,65.8596,24.8228,5.87,81,100,4.12,FI,1728623028
296,emerald,-23.5333,148.1667,17.97,80,3,5.36,AU,1728675422
297,shanwei,22.782,115.3475,24.21,74,35,6.55,CN,1728684832
298,brooks,50.5834,-111.8851,6.69,75,22,1.03,CA,1728654269
299,pangody,65.85,74.4859,-3.2,90,88,3.33,RU,1728611081
300,llanes,43.4198,-4.7549,18.53,80,99,2.22,ES,1728628097
301,talcahuano,-36.7167,-73.1167,13.82,88,75,5.14,CL,1728641574
302,preobrazheniye,42.9019,133.9064,12.24,92,0,2.11,RU,1728681234
303,bathsheba,13.2167,-59.5167,32.34,66,40,6.69,BB,1728640075
304,port moresby,-9.4431,147.1797,25.68,89,100,1.54,PG,1728676156
305,saipan,15.1355,145.701,27.39,83,0,2.57,MP,1728677287
306,weining,26.85,104.2333,10.5,99,100,1.06,CN,1728687648
307,chebba,35.2372,11.115,23.99,65,78,5.39,TN,1728623899
308,brisas de zicatela,15.8369,-97.0419,30.29,54,20,3.09,MX,1728649165
309,nanma,36.1817,118.1583,15.33,38,84,1.18,CN,1728684686
310,yangjiang,21.85,111.9667,23.47,84,12,2.78,CN,1728685611
311,alice springs,-23.7,133.8833,22.75,23,100,3.6,AU,1728678842
312,broken hill,-31.95,141.4333,14.92,38,100,6.71,AU,1728676682
313,tucumcari,35.1717,-103.725,20.91,30,0,3.6,US,1728651474
314,serdar,38.9764,56.2757,19.61,36,98,2.48,TM,1728613219
315,polyarnyy,69.1989,33.4478,7.25,83,100,11.25,RU,1728621594
316,valle de la pascua,9.2155,-66.0073,32.89,51,79,3.06,VE,1728641509
317,hamilton,39.1834,-84.5333,20.97,52,0,3.09,US,1728647046
318,taltal,-25.4,-70.4833,19.71,62,9,3.01,CL,1728641448
319,tulun,54.5611,100.5792,-3.68,70,85,1.92,RU,1728690029
320,ngaoundere,7.3167,13.5833,22.33,86,98,1.23,CM,1728622350
321,deniliquin,-35.5333,144.9667,8.7,78,0,5.73,AU,1728675662
322,usinsk,65.9939,57.5281,-4.27,82,100,6.03,RU,1728615184
323,usogorsk,63.4106,48.6872,0.78,48,100,5.84,RU,1728616919
324,brokopondo,4.75,-55.1667,30.23,63,100,1.08,SR,1728638771
325,amga,60.8953,131.9608,0.67,100,100,1.62,RU,1728683132
326,nova vicosa,-17.8919,-39.3719,28.26,62,82,5.27,BR,1728634263
327,ad dawadimi,24.5077,44.3924,30.64,13,3,4.14,SA,1728615501
328,dokkum,53.3222,5.997,12.21,65,7,4.63,NL,1728626146
329,palmer,42.1584,-72.3287,17.9,41,20,4.63,US,1728644262
330,morrope,-6.5417,-80.0111,23.39,64,85,4.92,PE,1728644385
331,shimanovsk,52.0,127.7,2.22,80,34,3.32,RU,1728683305
332,iskateley,67.6803,53.1512,-0.56,58,100,11.43,RU,1728616539
333,nova sintra,14.8667,-24.7167,28.17,78,98,5.62,CV,1728631774
334,pikeville,37.4793,-82.5188,17.09,68,0,1.34,US,1728646483
335,barra do bugres,-15.0725,-57.1811,39.31,24,94,3.41,BR,1728638632
336,pont rouge,48.8833,-72.0825,10.11,68,92,5.08,CA,1728644591
337,yuzhno-kurilsk,44.0306,145.8556,10.59,69,96,7.97,RU,1728678426
338,karratha,-20.7377,116.8463,26.32,66,15,4.75,AU,1728683041
339,redkino,56.6475,36.2967,13.29,71,71,5.22,RU,1728619143
340,lompoc,34.6391,-120.4579,13.4,100,100,2.06,US,1728655469
341,port douglas,-16.4833,145.4667,24.32,75,83,5.61,AU,1728676330
342,devils lake,48.1128,-98.8651,11.08,70,0,3.09,US,1728650976
343,guacara,10.2261,-67.877,30.92,48,54,2.57,VE,1728641989
344,mangrol,21.1167,70.1167,25.51,77,100,5.74,IN,1728609212
345,norilsk,69.3535,88.2027,-11.82,95,78,1.47,RU,1728608451
346,mil'kovo,55.6078,37.7956,12.97,64,6,5.31,RU,1728618691
347,vadso,70.0744,29.7487,8.09,87,75,6.69,NO,1728622687
348,gadzhiyevo,69.2551,33.3362,7.71,82,100,11.79,RU,1728621633
349,siavonga,-16.5382,28.7088,28.55,32,4,0.69,ZM,1728617979
350,tonghae,37.5439,129.1069,15.07,75,0,2.9,KR,1728682119
351,timimoun,29.2639,0.231,36.21,11,0,2.06,DZ,1728626275
352,xichang,27.8964,102.2634,15.15,90,100,1.41,CN,1728688160
353,ginir,7.1333,40.7,15.41,85,78,3.22,ET,1728615836
354,osmancik,40.9782,34.8047,21.96,44,5,2.24,TR,1728618471
355,roma,43.2128,-75.4557,14.27,76,75,2.68,US,1728645068
356,tokar,18.4254,37.729,31.07,63,6,4.19,SD,1728616899
357,hastings,50.8552,0.5729,12.86,23,10,1.98,GB,1728627268
358,rock springs,41.5875,-109.2029,14.69,24,0,1.54,US,1728653089
359,palompon,11.0508,124.3843,26.37,86,97,2.43,PH,1728682273
360,walvis bay,-22.9575,14.5053,20.53,64,0,6.69,NA,1728621158
361,colonia,50.9333,6.95,14.42,73,0,1.54,DE,1728625741
362,tamandare,-8.7597,-35.1047,27.86,59,100,5.78,BR,1728633541
363,hotan,37.0997,79.9269,18.47,29,0,2.21,CN,1728693909
364,port lincoln,-34.7333,135.8667,12.99,77,100,7.36,AU,1728677884
